Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,5,0.01,0.01,0.7161639115549556,0.7161639115549556
75% Corpus,5,0.01,0.31,0.7152593775209487,0.7152593775209487
75% Corpus,5,0.01,0.61,0.718503714715907,0.718503714715907
75% Corpus,5,0.01,0.9099999999999999,0.7109168002541643,0.7109168002541643
75% Corpus,5,0.01,symmetric,0.7144363838528646,0.7144363838528646
75% Corpus,5,0.31,0.01,0.697677385158746,0.697677385158746
75% Corpus,5,0.31,0.31,0.6950104728008111,0.6950104728008111
75% Corpus,5,0.31,0.61,0.7033036626810221,0.7033036626810221
75% Corpus,5,0.31,0.9099999999999999,0.7033036626810221,0.7033036626810221
75% Corpus,5,0.31,symmetric,0.6950104728008111,0.6950104728008111
75% Corpus,5,0.61,0.01,0.6939847735068176,0.6939847735068176
75% Corpus,5,0.61,0.31,0.6896256577120367,0.6896256577120367
75% Corpus,5,0.61,0.61,0.6809742653474211,0.6809742653474211
75% Corpus,5,0.61,0.9099999999999999,0.6706992297787344,0.6706992297787344
75% Corpus,5,0.61,symmetric,0.6907089596252446,0.6907089596252446
75% Corpus,5,0.9099999999999999,0.01,0.7029928335586583,0.7029928335586583
75% Corpus,5,0.9099999999999999,0.31,0.6922664642547112,0.6922664642547112
75% Corpus,5,0.9099999999999999,0.61,0.6760005827475128,0.6760005827475128
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.6627522124627644,0.6627522124627644
75% Corpus,5,0.9099999999999999,symmetric,0.6804553359919302,0.6804553359919302
75% Corpus,5,symmetric,0.01,0.7125932903357002,0.7125932903357002
75% Corpus,5,symmetric,0.31,0.7065429736356567,0.7065429736356567
75% Corpus,5,symmetric,0.61,0.7002214935306672,0.7002214935306672
75% Corpus,5,symmetric,0.9099999999999999,0.7001834791349928,0.7001834791349928
75% Corpus,5,symmetric,symmetric,0.7051067287641114,0.7051067287641114
75% Corpus,5,asymmetric,0.01,0.6635246318098552,0.6635246318098552
75% Corpus,5,asymmetric,0.31,0.5877222696193452,0.5877222696193452
75% Corpus,5,asymmetric,0.61,0.5664525049039986,0.5664525049039986
75% Corpus,5,asymmetric,0.9099999999999999,0.5721150676887524,0.5721150676887524
75% Corpus,5,asymmetric,symmetric,0.6131013903131801,0.6131013903131801
75% Corpus,6,0.01,0.01,0.7203522259182124,0.7203522259182124
75% Corpus,6,0.01,0.31,0.7107932953745202,0.7107932953745202
75% Corpus,6,0.01,0.61,0.7181306009394549,0.7181306009394549
75% Corpus,6,0.01,0.9099999999999999,0.7121662702343271,0.7121662702343271
75% Corpus,6,0.01,symmetric,0.7191036668657255,0.7191036668657255
75% Corpus,6,0.31,0.01,0.6989923082476034,0.6989923082476034
75% Corpus,6,0.31,0.31,0.705516937923922,0.705516937923922
75% Corpus,6,0.31,0.61,0.7069706177570372,0.7069706177570372
75% Corpus,6,0.31,0.9099999999999999,0.7035271025869277,0.7035271025869277
75% Corpus,6,0.31,symmetric,0.7060044900603512,0.7060044900603512
75% Corpus,6,0.61,0.01,0.6984330047000217,0.6984330047000217
75% Corpus,6,0.61,0.31,0.6910622657299773,0.6910622657299773
75% Corpus,6,0.61,0.61,0.6657692401366175,0.6657692401366175
75% Corpus,6,0.61,0.9099999999999999,0.6632384665646288,0.6632384665646288
75% Corpus,6,0.61,symmetric,0.6939954545412262,0.6939954545412262
75% Corpus,6,0.9099999999999999,0.01,0.6982770288825974,0.6982770288825974
75% Corpus,6,0.9099999999999999,0.31,0.6754529402607229,0.6754529402607229
75% Corpus,6,0.9099999999999999,0.61,0.6530983998528108,0.6530983998528108
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.6697967282173947,0.6697967282173947
75% Corpus,6,0.9099999999999999,symmetric,0.6899993811706754,0.6899993811706754
75% Corpus,6,symmetric,0.01,0.7055060095666885,0.7055060095666885
75% Corpus,6,symmetric,0.31,0.7083583887801934,0.7083583887801934
75% Corpus,6,symmetric,0.61,0.7106412888501139,0.7106412888501139
75% Corpus,6,symmetric,0.9099999999999999,0.7094043434330883,0.7094043434330883
